CompanyName, CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1, RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,Accounts.AccountRefDay,Accounts.AccountRefMonth,Accounts.NextDueDate,Accounts.LastMadeUpDate,Accounts.AccountCategory,Returns.NextDueDate,Returns.LastMadeUpDate,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,LimitedPartnerships.NumGenPartners,LimitedPartnerships.NumLimPartners,URI,PreviousName_1.CONDATE, PreviousName_1.CompanyName, PreviousName_2.CONDATE, PreviousName_2.CompanyName,PreviousName_3.CONDATE, PreviousName_3.CompanyName,PreviousName_4.CONDATE, PreviousName_4.CompanyName,PreviousName_5.CONDATE, PreviousName_5.CompanyName,PreviousName_6.CONDATE, PreviousName_6.CompanyName,PreviousName_7.CONDATE, PreviousName_7.CompanyName,PreviousName_8.CONDATE, PreviousName_8.CompanyName,PreviousName_9.CONDATE, PreviousName_9.CompanyName,PreviousName_10.CONDATE, PreviousName_10.CompanyName,ConfStmtNextDueDate, ConfStmtLastMadeUpDate
THINK ADVENTURE LTD,11623829,,,C/O BLEND ACCOUNTANTS FIRST FLOOR BRUNEL HOUSE 9 PENROD WAY,HEYSHAM,MORECAMBE,,ENGLAND,LA3 2UZ,Private Limited Company,Active,United Kingdom,,15/10/2018,31,10,31/07/2024,31/10/2022,TOTAL EXEMPTION FULL,12/11/2019,,0,0,0,0,73110 - Advertising agencies,,,,0,0,http://business.data.gov.uk/id/company/11623829,,,,,,,,,,,,,,,,,,,,,27/10/2023,13/10/2022
THL TRANSPORT AND RECOVERY LTD,13958377,,,27 GREENFINCH WAY,HEYSHAM,MORECAMBE,,ENGLAND,LA3 2GR,Private Limited Company,Active,United Kingdom,,05/03/2022,31,3,05/12/2023,,NO ACCOUNTS FILED,02/04/2023,,0,0,0,0,45200 - Maintenance and repair of motor vehicles,,,,0,0,http://business.data.gov.uk/id/company/13958377,,,,,,,,,,,,,,,,,,,,,18/03/2024,04/03/2023
THOMAS DELANEY LIMITED,14521609,,,1 MORECAMBE ROAD,,MORECAMBE,,ENGLAND,LA3 3AA,Private Limited Company,Active,United Kingdom,,02/12/2022,31,12,02/09/2024,,NO ACCOUNTS FILED,30/12/2023,,0,0,0,0,42990 - Construction of other civil engineering projects n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/14521609,,,,,,,,,,,,,,,,,,,,,15/12/2023,
THOPHIERT LTD,13490126,,,18 LORDSOME ROAD,,MORECAMBE,,UNITED KINGDOM,LA3 1JB,Private Limited Company,Active,United Kingdom,,02/07/2021,5,4,05/01/2024,05/04/2022,MICRO ENTITY,30/07/2022,,0,0,0,0,82920 - Packaging activities,,,,0,0,http://business.data.gov.uk/id/company/13490126,,,,,,,,,,,,,,,,,,,,,11/07/2024,27/06/2023
THREE POINT ONE LIMITED,7561285,,,4 WEMYSS CLOSE,,HEYSHAM,,ENGLAND,LA3 2UG,Private Limited Company,Active,United Kingdom,,11/03/2011,31,3,31/12/2023,31/03/2022,DORMANT,08/04/2017,11/03/2016,0,0,0,0,69201 - Accounting and auditing activities,,,,0,0,http://business.data.gov.uk/id/company/07561285,,,,,,,,,,,,,,,,,,,,,25/03/2024,11/03/2023
THRIFTY MOOSE UK LTD,14900400,,,15 CAMPION WAY,,MORECAMBE,,ENGLAND,LA3 3QE,Private Limited Company,Active,United Kingdom,,29/05/2023,31,5,28/02/2025,,NO ACCOUNTS FILED,26/06/2024,,0,0,0,0,47190 - Other retail sale in non-specialised stores,,,,0,0,http://business.data.gov.uk/id/company/14900400,,,,,,,,,,,,,,,,,,,,,11/06/2024,
THRUSHWOOD LTD,13852062,,,18 LORDSOME ROAD,,MORECAMBE,,UNITED KINGDOM,LA3 1JB,Private Limited Company,Active,United Kingdom,,17/01/2022,5,4,05/01/2025,05/04/2023,MICRO ENTITY,14/02/2023,,0,0,0,0,82920 - Packaging activities,,,,0,0,http://business.data.gov.uk/id/company/13852062,,,,,,,,,,,,,,,,,,,,,30/01/2024,16/01/2023
THXP LIMITED,14360836,,,C/O 36 REGENT ROAD,,MORECAMBE,,UNITED KINGDOM,LA3 1QN,Private Limited Company,Active,United Kingdom,,16/09/2022,30,9,16/06/2024,,NO ACCOUNTS FILED,14/10/2023,,0,0,0,0,70229 - Management consultancy activities other than financial management,,,,0,0,http://business.data.gov.uk/id/company/14360836,12/10/2022,COLH LIMITED,,,,,,,,,,,,,,,,,,,29/09/2023,
THYNAFYS LTD,13490135,,,18 LORDSOME ROAD,,MORECAMBE,,UNITED KINGDOM,LA3 1JB,Private Limited Company,Active,United Kingdom,,02/07/2021,5,4,05/01/2024,05/04/2022,MICRO ENTITY,30/07/2022,,0,0,0,0,82920 - Packaging activities,,,,0,0,http://business.data.gov.uk/id/company/13490135,,,,,,,,,,,,,,,,,,,,,10/07/2024,26/06/2023
TIC OVER LIMITED,14970517,,,42 GREENFINCH WAY,HEYSHAM,MORECAMBE,,ENGLAND,LA3 2GR,Private Limited Company,Active,United Kingdom,,29/06/2023,30,6,29/03/2025,,NO ACCOUNTS FILED,27/07/2024,,0,0,0,0,45200 - Maintenance and repair of motor vehicles,,,,0,0,http://business.data.gov.uk/id/company/14970517,,,,,,,,,,,,,,,,,,,,,12/07/2024,
TILING & FLOORING LIMITED,14464153,,,202 WESTMINSTER ROAD,,MORECAMBE,LANCASHIRE,ENGLAND,LA3 1UN,Private Limited Company,Active,United Kingdom,,05/11/2022,30,11,05/08/2024,,NO ACCOUNTS FILED,03/12/2023,,0,0,0,0,43330 - Floor and wall covering,,,,0,0,http://business.data.gov.uk/id/company/14464153,,,,,,,,,,,,,,,,,,,,,18/11/2023,
TJ MOORE PROPERTIES LTD,15114099,,,18 WARLEY AVENUE,,MORECAMBE,,ENGLAND,LA3 3AR,Private Limited Company,Active,United Kingdom,,04/09/2023,30,9,04/06/2025,,NO ACCOUNTS FILED,02/10/2024,,0,0,0,0,68209 - Other letting and operating of own or leased real estate,,,,0,0,http://business.data.gov.uk/id/company/15114099,,,,,,,,,,,,,,,,,,,,,17/09/2024,
TOMLINSONS CATERING LIMITED,10895870,,,UNIT 12 FORESTGATE,,MORECAMBE,LANCASHIRE,ENGLAND,LA3 3PD,Private Limited Company,Active,United Kingdom,,02/08/2017,31,12,30/09/2024,31/12/2022,MICRO ENTITY,30/08/2018,,2,2,0,0,56210 - Event catering activities,,,,0,0,http://business.data.gov.uk/id/company/10895870,,,,,,,,,,,,,,,,,,,,,15/08/2024,01/08/2023
TONY HOLMES LIMITED,4486702,,,UNIT 4 WOODGATE PARK,NEWGATE  WHITE LUND ESTATE,MORECAMBE,LANCASHIRE,,LA3 3PS,Private Limited Company,Active,United Kingdom,,16/07/2002,31,7,30/04/2024,31/07/2022,TOTAL EXEMPTION FULL,13/08/2016,16/07/2015,0,0,0,0,96030 - Funeral and related activities,,,,0,0,http://business.data.gov.uk/id/company/04486702,,,,,,,,,,,,,,,,,,,,,30/07/2024,16/07/2023
TONY HUNT ASSOCIATES LIMITED,3860628,,,39 NORTHGATE,WHITE LUND INDUSTRIAL ESTATE,MORECAMBE,LANCASHIRE,ENGLAND,LA3 3PA,Private Limited Company,Active,United Kingdom,,18/10/1999,31,10,31/07/2024,31/10/2022,MICRO ENTITY,22/10/2016,24/09/2015,0,0,0,0,70229 - Management consultancy activities other than financial management,,,,0,0,http://business.data.gov.uk/id/company/03860628,,,,,,,,,,,,,,,,,,,,,08/10/2024,24/09/2023
TOP TASTE PIZZA LTD,14885279,,,28 INGLEDENE WESTGATE,,MORECAMBE,,UNITED KINGDOM,LA3 3DD,Private Limited Company,Active,United Kingdom,,22/05/2023,31,5,22/02/2025,,NO ACCOUNTS FILED,19/06/2024,,0,0,0,0,56103 - Take-away food shops and mobile food stands,,,,0,0,http://business.data.gov.uk/id/company/14885279,,,,,,,,,,,,,,,,,,,,,04/06/2024,
TOP WHEELS SERVICE LTD,9596081,,,UNIT 13 VICKERS INDUSTRIAL ESTATE,MELLISHAW LANE,MORECAMBE,,ENGLAND,LA3 3EN,Private Limited Company,Active,United Kingdom,,18/05/2015,31,5,29/02/2024,31/05/2022,TOTAL EXEMPTION FULL,15/06/2017,18/05/2016,0,0,0,0,96090 - Other service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/09596081,,,,,,,,,,,,,,,,,,,,,19/05/2024,05/05/2023
TOP WHEELS TRADE LTD,9668413,,,UNIT 14  VICKERS INDUSTRIAL ESTATE,MELLISHAW LANE,MORECAMBE,,ENGLAND,LA3 3EN,Private Limited Company,Active,United Kingdom,,02/07/2015,31,7,30/04/2024,31/07/2022,TOTAL EXEMPTION FULL,30/07/2016,,0,0,0,0,96090 - Other service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/09668413,,,,,,,,,,,,,,,,,,,,,28/06/2024,14/06/2023
TOPMARK PAINTING AND DECORATING LTD,9825683,,,39 NORTHGATE,WHITE LUND INDUSTRIAL ESTATE,MORECAMBE,LANCASHIRE,ENGLAND,LA3 3PA,Private Limited Company,Active - Proposal to Strike off,United Kingdom,,15/10/2015,31,10,31/07/2023,31/10/2021,MICRO ENTITY,12/11/2016,,0,0,0,0,43330 - Floor and wall covering,43341 - Painting,,,0,0,http://business.data.gov.uk/id/company/09825683,21/03/2017,HYNING LOANS LIMITED,01/02/2017,THE BEEF CATTLE FEED COMPANY LTD,,,,,,,,,,,,,,,,,28/10/2023,14/10/2022
TOWN & COUNTRY EVENT SOLUTIONS LTD,7099605,,,38A NORTON ROAD,HEYSHAM,MORECAMBE,LANCASHIRE,,LA3 1PF,Private Limited Company,Active,United Kingdom,,09/12/2009,31,3,31/12/2023,31/03/2022,MICRO ENTITY,06/01/2017,09/12/2015,0,0,0,0,82990 - Other business support service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/07099605,,,,,,,,,,,,,,,,,,,,,23/12/2023,09/12/2022
TOWNSON PROPERTY SOLUTIONS LTD,8568814,,,3 FELLSIDE VIEW,,HEYSHAM,,,LA3 2JZ,Private Limited Company,Active,United Kingdom,,13/06/2013,30,6,31/03/2024,30/06/2022,TOTAL EXEMPTION FULL,11/07/2017,13/06/2016,0,0,0,0,68209 - Other letting and operating of own or leased real estate,,,,0,0,http://business.data.gov.uk/id/company/08568814,,,,,,,,,,,,,,,,,,,,,27/06/2024,13/06/2023
TRADE COATINGZ LTD,12983860,,,"UNIT 15, BAY 5 VICKERS INDUSTRIAL ESTATE",MELLISHAW LANE,MORECAMBE,LANCASHIRE,ENGLAND,LA3 3EN,Private Limited Company,Active,United Kingdom,,29/10/2020,31,10,31/07/2024,31/10/2022,DORMANT,26/11/2021,,0,0,0,0,43341 - Painting,,,,0,0,http://business.data.gov.uk/id/company/12983860,,,,,,,,,,,,,,,,,,,,,11/11/2023,28/10/2022
TRADE SIGNZ MANUFACTURING LIMITED,7001586,,,"UNIT 15,  BAY 4 VICKERS INDUSTRIAL ESTATE",MELLISHAW LANE,MORECAMBE,LANCASHIRE,ENGLAND,LA3 3EN,Private Limited Company,Active,United Kingdom,,26/08/2009,31,12,30/09/2024,31/12/2022,MICRO ENTITY,23/09/2016,26/08/2015,0,0,0,0,32990 - Other manufacturing n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/07001586,,,,,,,,,,,,,,,,,,,,,10/04/2024,27/03/2023
TRAFALGAR ROAD 1963 LIMITED,8950952,,,REGENCY LEISURE PARK 82 ARNSIDE,WESTGATE,MORECOMBE,,,LA3 3AP,Private Limited Company,Active,United Kingdom,,20/03/2014,20,3,20/12/2024,20/03/2023,DORMANT,17/04/2017,20/03/2016,0,0,0,0,99999 - Dormant Company,,,,0,0,http://business.data.gov.uk/id/company/08950952,,,,,,,,,,,,,,,,,,,,,03/04/2024,20/03/2023
TRANSFORM HEALTHCARE CAMBODIA LTD,8419289,,,290 HEYSHAM ROAD,HEYSHAM,MORECAMBE,LANCASHIRE,ENGLAND,LA3 1PZ,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,,26/02/2013,28,2,30/11/2023,28/02/2022,MICRO ENTITY,26/03/2017,26/02/2016,0,0,0,0,86101 - Hospital activities,86900 - Other human health activities,,,0,0,http://business.data.gov.uk/id/company/08419289,,,,,,,,,,,,,,,,,,,,,11/03/2024,26/02/2023
TRAVIS BUTLER LIMITED,4659008,,,4 FULMAR CRESCENT,HEYSHAM,LANCASHIRE,,,LA3 2TG,Private Limited Company,Active,United Kingdom,,06/02/2003,31,1,31/10/2024,31/01/2023,TOTAL EXEMPTION FULL,06/03/2017,06/02/2016,0,0,0,0,41202 - Construction of domestic buildings,,,,0,0,http://business.data.gov.uk/id/company/04659008,,,,,,,,,,,,,,,,,,,,,20/02/2024,06/02/2023
TREBLE3 DESIGN LTD,8694514,,,C/O BLEND ACCOUNTANTS FIRST FLOOR BRUNEL HOUSE 9 PENROD WAY,HEYSHAM,MORECAMBE,LANCASHIRE,ENGLAND,LA3 2UZ,Private Limited Company,Active,United Kingdom,,17/09/2013,30,9,30/06/2024,30/09/2022,TOTAL EXEMPTION FULL,15/10/2016,17/09/2015,0,0,0,0,18129 - Printing n.e.c.,"63110 - Data processing, hosting and related activities",63120 - Web portals,70210 - Public relations and communications activities,0,0,http://business.data.gov.uk/id/company/08694514,,,,,,,,,,,,,,,,,,,,,25/09/2024,11/09/2023
TREY MEDICAL LIMITED,15154693,,,66 BOWLAND ROAD,HEYSHAM,MORECAMBE,,ENGLAND,LA3 2EW,Private Limited Company,Active,United Kingdom,,21/09/2023,30,9,21/06/2025,,NO ACCOUNTS FILED,19/10/2024,,0,0,0,0,86900 - Other human health activities,"87200 - Residential care activities for learning difficulties, mental health and substance abuse",,,0,0,http://business.data.gov.uk/id/company/15154693,,,,,,,,,,,,,,,,,,,,,04/10/2024,
TRF21 LIMITED,11772798,,,39 NORTHGATE,WHITE LUND,MORECAMBE,LANCASHIRE,ENGLAND,LA3 3PA,Private Limited Company,Active,United Kingdom,,17/01/2019,31,1,31/10/2023,31/01/2022,MICRO ENTITY,14/02/2020,,0,0,0,0,73120 - Media representation services,,,,0,0,http://business.data.gov.uk/id/company/11772798,,,,,,,,,,,,,,,,,,,,,23/02/2024,09/02/2023
TROUTFLIES UK LTD,7910011,,,69 NORTON ROAD,HEYSHAM,MORECAMBE,LANCASHIRE,,LA3 1PF,Private Limited Company,Active,United Kingdom,,16/01/2012,31,12,30/09/2024,31/12/2022,MICRO ENTITY,13/02/2017,16/01/2016,0,0,0,0,03220 - Freshwater aquaculture,,,,0,0,http://business.data.gov.uk/id/company/07910011,,,,,,,,,,,,,,,,,,,,,30/01/2024,16/01/2023
TRS TYRES LTD,2428299,,,WHITEGATE,WHITE LUND INDUSTRIAL ESTATE,MORECAMBE,LANCASHIRE,,LA3 3BS,Private Limited Company,Active,United Kingdom,,02/10/1989,31,12,30/09/2024,31/12/2022,FULL,30/10/2016,02/10/2015,0,0,0,0,29100 - Manufacture of motor vehicles,,,,0,0,http://business.data.gov.uk/id/company/02428299,,,,,,,,,,,,,,,,,,,,,16/10/2023,02/10/2022
TRUCKNAV LIMITED,9499880,,,9 OAKVILLE ROAD,HEYSHAM,MORECAMBE,,ENGLAND,LA3 2TB,Private Limited Company,Active,United Kingdom,,19/03/2015,31,3,31/12/2023,31/03/2022,MICRO ENTITY,16/04/2017,19/03/2016,0,0,0,0,47910 - Retail sale via mail order houses or via Internet,,,,0,0,http://business.data.gov.uk/id/company/09499880,,,,,,,,,,,,,,,,,,,,,02/04/2024,19/03/2023
TYREMAN MORECAMBE LIMITED,15065946,,,UNIT 2 MAPLE WORKS NORTHGATE,WHITE LUND INDUSTRIAL ESTATE,MORECAMBE,,ENGLAND,LA3 3AZ,Private Limited Company,Active,United Kingdom,,11/08/2023,31,8,11/05/2025,,NO ACCOUNTS FILED,08/09/2024,,0,0,0,0,45200 - Maintenance and repair of motor vehicles,45320 - Retail trade of motor vehicle parts and accessories,,,0,0,http://business.data.gov.uk/id/company/15065946,,,,,,,,,,,,,,,,,,,,,24/08/2024,
UK FORKLIFT TRAINING SERVICES LTD,13231106,,,C/O BLEND ACCOUNTANTS FIRST FLOOR BRUNEL HOUSE 9 PENROD WAY,HEYSHAM,MORECAMBE,LANCASHIRE,ENGLAND,LA3 2UZ,Private Limited Company,Active,United Kingdom,,27/02/2021,28,2,30/11/2024,28/02/2023,MICRO ENTITY,27/03/2022,,0,0,0,0,85590 - Other education n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/13231106,,,,,,,,,,,,,,,,,,,,,08/03/2024,23/02/2023
UKBATHROOMSTORE LIMITED,6394814,,,UNIT 2 DENNISON IND ESTATE,MIDDLEGATE,MORECAMBE,LANCASHIRE,,LA3 3SZ,Private Limited Company,Active,United Kingdom,,10/10/2007,31,12,30/09/2024,31/12/2022,TOTAL EXEMPTION FULL,07/11/2016,10/10/2015,0,0,0,0,"46740 - Wholesale of hardware, plumbing and heating equipment and supplies",,,,0,0,http://business.data.gov.uk/id/company/06394814,,,,,,,,,,,,,,,,,,,,,07/04/2024,24/03/2023
UKPLY LTD,13883786,,,209 HEYSHAM ROAD,,MORECAMBE,,ENGLAND,LA3 1NN,Private Limited Company,Active,United Kingdom,,31/01/2022,31,1,31/10/2023,,NO ACCOUNTS FILED,28/02/2023,,0,0,0,0,16210 - Manufacture of veneer sheets and wood-based panels,,,,0,0,http://business.data.gov.uk/id/company/13883786,,,,,,,,,,,,,,,,,,,,,22/12/2023,08/12/2022
ULTIMATE CLEANING SOLUTIONS LIMITED,9120572,,,54 MIDDLETON ROAD,HEYSHAM,MORECAMBE,LANCASHIRE,,LA3 2RZ,Private Limited Company,Active,United Kingdom,,08/07/2014,30,9,30/06/2024,30/09/2022,MICRO ENTITY,05/08/2016,08/07/2015,0,0,0,0,81210 - General cleaning of buildings,81222 - Specialised cleaning services,,,0,0,http://business.data.gov.uk/id/company/09120572,,,,,,,,,,,,,,,,,,,,,22/07/2024,08/07/2023
ULTIMATE COOLING LTD,9887844,,,7 CHESTER CLOSE,HEATON WITH OXCLIFFE,MORECAMBE,,UNITED KINGDOM,LA3 3RF,Private Limited Company,Active,United Kingdom,,25/11/2015,30,9,30/06/2024,30/09/2022,TOTAL EXEMPTION FULL,23/12/2016,,0,0,0,0,"43220 - Plumbing, heat and air-conditioning installation",,,,0,0,http://business.data.gov.uk/id/company/09887844,,,,,,,,,,,,,,,,,,,,,08/12/2023,24/11/2022
UMIABRE LTD,13489966,,,18 LORDSOME ROAD,,MORECAMBE,,UNITED KINGDOM,LA3 1JB,Private Limited Company,Active,United Kingdom,,02/07/2021,5,4,05/01/2024,05/04/2022,MICRO ENTITY,30/07/2022,,0,0,0,0,82920 - Packaging activities,,,,0,0,http://business.data.gov.uk/id/company/13489966,,,,,,,,,,,,,,,,,,,,,10/07/2024,26/06/2023
UNITED HEMP ALLIANCE LTD,12217158,,,OFFICE 5 NORTHGATE BUSINESS CENTRE NORTHGATE,WHITE LUND INDUSTRIAL ESTATE,MORECAMBE,,ENGLAND,LA3 3PA,Private Limited Company,Active - Proposal to Strike off,United Kingdom,,20/09/2019,30,9,30/06/2024,30/09/2022,MICRO ENTITY,18/10/2020,,0,0,0,0,46190 - Agents involved in the sale of a variety of goods,,,,0,0,http://business.data.gov.uk/id/company/12217158,17/10/2019,UNITED HEMP WHOLESALE LTD,15/10/2019,GLOBAL HEMP WHOLESALE LTD,,,,,,,,,,,,,,,,,29/09/2023,15/09/2022
UNIVERSAL CONTRACTS (NW) LIMITED,4868839,,,NORTHGATE,WHITE LUND INDUSTRIAL ESTATE,MORECAMBE,LANCASHIRE,,LA3 3AY,Private Limited Company,Active,United Kingdom,,15/08/2003,31,8,31/05/2024,31/08/2022,MICRO ENTITY,12/09/2016,15/08/2015,0,0,0,0,41201 - Construction of commercial buildings,41202 - Construction of domestic buildings,,,0,0,http://business.data.gov.uk/id/company/04868839,,,,,,,,,,,,,,,,,,,,,29/08/2024,15/08/2023
UR TODD LTD,13876166,,,18 LORDSOME ROAD,,MORECAMBE,,UNITED KINGDOM,LA3 1JB,Private Limited Company,Active,United Kingdom,,27/01/2022,5,4,05/01/2024,05/04/2022,MICRO ENTITY,24/02/2023,,0,0,0,0,82920 - Packaging activities,,,,0,0,http://business.data.gov.uk/id/company/13876166,,,,,,,,,,,,,,,,,,,,,09/02/2024,26/01/2023
URBAN DELIVERIES NORTH LIMITED,15153747,,,39 NORTHGATE,WHITE LUND INDUSTRIAL ESTATE,MORECAMBE,LANCASHIRE,UNITED KINGDOM,LA3 3PA,Private Limited Company,Active,United Kingdom,,21/09/2023,30,9,21/06/2025,,NO ACCOUNTS FILED,19/10/2024,,0,0,0,0,56101 - Licensed restaurants,56290 - Other food services,,,0,0,http://business.data.gov.uk/id/company/15153747,,,,,,,,,,,,,,,,,,,,,04/10/2024,
UTTER CREATIVES LTD,9851737,,,10 DUNSOP GARDENS,GROSVENOR PARK,MORECAMBE,,ENGLAND,LA3 3SL,Private Limited Company,Active,United Kingdom,,02/11/2015,31,8,31/05/2024,31/08/2022,MICRO ENTITY,30/11/2016,,0,0,0,0,74100 - specialised design activities,,,,0,0,http://business.data.gov.uk/id/company/09851737,,,,,,,,,,,,,,,,,,,,,25/11/2023,11/11/2022
UU PEARCE LTD,13877828,,,18 LORDSOME ROAD,,MORECAMBE,,,LA3 1JB,Private Limited Company,Active,United Kingdom,,28/01/2022,5,4,05/01/2025,05/04/2023,MICRO ENTITY,25/02/2023,,0,0,0,0,82920 - Packaging activities,,,,0,0,http://business.data.gov.uk/id/company/13877828,,,,,,,,,,,,,,,,,,,,,10/02/2024,27/01/2023
UY PARMAR LTD,13881936,,,18 LORDSOME ROAD,,MORECAMBE,,UNITED KINGDOM,LA3 1JB,Private Limited Company,Active,United Kingdom,,31/01/2022,5,4,05/01/2024,05/04/2022,MICRO ENTITY,28/02/2023,,0,0,0,0,82920 - Packaging activities,,,,0,0,http://business.data.gov.uk/id/company/13881936,,,,,,,,,,,,,,,,,,,,,13/02/2024,30/01/2023
V CATLOW & SON LTD,6866507,,,UNIT 3 WHITEGATE,WHITE LUND INDUSTRIAL ESTATE,MORECAMBE,LANCASHIRE,,LA3 3BS,Private Limited Company,Active,United Kingdom,,01/04/2009,31,3,31/12/2023,31/03/2022,MICRO ENTITY,29/04/2017,01/04/2016,0,0,0,0,"47990 - Other retail sale not in stores, stalls or markets",,,,0,0,http://business.data.gov.uk/id/company/06866507,,,,,,,,,,,,,,,,,,,,,10/12/2023,26/11/2022
VA GORDON LTD,13886443,,,18 LORDSOME ROAD,,MORECAMBE,,,LA3 1JB,Private Limited Company,Active,United Kingdom,,01/02/2022,28,2,30/11/2024,28/02/2023,MICRO ENTITY,01/03/2023,,0,0,0,0,49410 - Freight transport by road,,,,0,0,http://business.data.gov.uk/id/company/13886443,,,,,,,,,,,,,,,,,,,,,14/02/2024,31/01/2023
VAC-UM LIMITED,14393909,,,40-42 ALEXANDRA ROAD,,MORECAMBE,LANCASHIRE,UNITED KINGDOM,LA3 1TG,Private Limited Company,Active,United Kingdom,,03/10/2022,31,10,03/07/2024,,NO ACCOUNTS FILED,31/10/2023,,0,0,0,0,47540 - Retail sale of electrical household appliances in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/14393909,,,,,,,,,,,,,,,,,,,,,16/10/2023,
VALEPINE LTD,13510513,,,8 WHINNYSTY LANE,HEYSHAM,MORECAMBE,,ENGLAND,LA3 1PB,Private Limited Company,Active,United Kingdom,,14/07/2021,31,7,30/04/2024,31/07/2022,DORMANT,11/08/2022,,0,0,0,0,68100 - Buying and selling of own real estate,,,,0,0,http://business.data.gov.uk/id/company/13510513,,,,,,,,,,,,,,,,,,,,,01/09/2023,18/08/2022
VALLUMY LTD,13490078,,,18 LORDSOME ROAD,,MORECAMBE,,UNITED KINGDOM,LA3 1JB,Private Limited Company,Active,United Kingdom,,02/07/2021,5,4,05/01/2024,05/04/2022,MICRO ENTITY,30/07/2022,,0,0,0,0,82920 - Packaging activities,,,,0,0,http://business.data.gov.uk/id/company/13490078,,,,,,,,,,,,,,,,,,,,,11/07/2024,27/06/2023
VAN BODIES (LANCS) LIMITED,1221795,,,EASTGATE,WHITE LUND INDUSTRIAL ESTATE,MORECAMBE,LANCASHIRE,,LA3 3DY,Private Limited Company,Active,United Kingdom,,05/08/1975,31,8,31/05/2024,28/02/2022,TOTAL EXEMPTION FULL,27/02/2017,30/01/2016,3,2,0,1,29201 - Manufacture of bodies (coachwork) for motor vehicles (except caravans),,,,0,0,http://business.data.gov.uk/id/company/01221795,,,,,,,,,,,,,,,,,,,,,13/02/2024,30/01/2023
VANALSTYNES LIMITED,11559085,,,5 NEWGATE,WHITE LUND INDUSTRIAL ESTATE,MORECAMBE,LANCASHIRE,UNITED KINGDOM,LA3 3PT,Private Limited Company,Active,United Kingdom,,07/09/2018,31,3,31/12/2024,31/03/2023,DORMANT,05/10/2019,,1,0,0,1,32500 - Manufacture of medical and dental instruments and supplies,,,,0,0,http://business.data.gov.uk/id/company/11559085,27/11/2018,OPTIMUM GLAZING LIMITED,,,,,,,,,,,,,,,,,,,20/09/2023,06/09/2022
VE HUNT LTD,13889137,,,18 LORDSOME ROAD,,MORECAMBE,,UNITED KINGDOM,LA3 1JB,Private Limited Company,Active,United Kingdom,,02/02/2022,5,4,05/01/2025,05/04/2023,MICRO ENTITY,02/03/2023,,0,0,0,0,82920 - Packaging activities,,,,0,0,http://business.data.gov.uk/id/company/13889137,,,,,,,,,,,,,,,,,,,,,15/02/2024,01/02/2023
VERMIZCENT LTD,13638545,,,18 LORDSOME ROAD,,MORECAMBE,,UNITED KINGDOM,LA3 1JB,Private Limited Company,Active,United Kingdom,,23/09/2021,5,4,05/01/2024,05/04/2022,MICRO ENTITY,21/10/2022,,0,0,0,0,49410 - Freight transport by road,,,,0,0,http://business.data.gov.uk/id/company/13638545,,,,,,,,,,,,,,,,,,,,,06/10/2023,22/09/2022
VERTICAL BLIND SERVICES LIMITED,4765255,,,41 WALKER GROVE,HEYSHAM,MORECAMBE,LANCS,,LA3 2DE,Private Limited Company,Active,United Kingdom,,15/05/2003,30,5,29/02/2024,31/05/2022,TOTAL EXEMPTION FULL,12/06/2017,15/05/2016,0,0,0,0,"47530 - Retail sale of carpets, rugs, wall and floor coverings in specialised stores",,,,0,0,http://business.data.gov.uk/id/company/04765255,,,,,,,,,,,,,,,,,,,,,17/01/2024,03/01/2023
VESPA CLASSICO LTD,14086006,,,3 HIGHDALE,HEYSHAM,MORECAMBE,,ENGLAND,LA3 2LD,Private Limited Company,Active,United Kingdom,,04/05/2022,31,5,28/02/2025,31/05/2023,MICRO ENTITY,01/06/2023,,0,0,0,0,"45400 - Sale, maintenance and repair of motorcycles and related parts and accessories",,,,0,0,http://business.data.gov.uk/id/company/14086006,,,,,,,,,,,,,,,,,,,,,17/05/2024,03/05/2023
VICTORIA BRIDGE LTD,13890669,,,18 LORDSOME ROAD,,MORECAMBE,,UNITED KINGDOM,LA3 1JB,Private Limited Company,Active,United Kingdom,,03/02/2022,5,4,05/01/2024,05/04/2022,MICRO ENTITY,03/03/2023,,0,0,0,0,82920 - Packaging activities,,,,0,0,http://business.data.gov.uk/id/company/13890669,,,,,,,,,,,,,,,,,,,,,10/02/2024,27/01/2023
